open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore,date,ma20,bb_mid,bb_upper,bb_lower,long_signal,short_signal
1755820800000,112462.2,117397.4,111625.9,116897.5,199447.977,1755907199999,22883791440.70280,3835737,99642.896,11432576389.31770,0,2025-08-22 00:00:00+00:00,116636.43500000001,100747.98363636364,124475.76108297789,77020.2061897494,False,False
1755907200000,116897.5,116988.0,114510.0,115377.1,78419.415,1755993599999,9054235281.62780,1536323,37863.987,4370908825.10670,0,2025-08-23 00:00:00+00:00,116697.75,100815.78863636364,124625.00186364703,77006.57540908024,False,False
1755993600000,115377.1,115640.0,110484.0,113446.3,133388.002,1756079999999,15148067971.34950,2638475,62689.861,7122684907.12930,0,2025-08-24 00:00:00+00:00,116619.95999999999,100877.19272727272,124746.63064068003,77007.75481386541,False,False
1756080000000,113446.2,113621.3,109219.8,110064.0,204839.785,1756166399999,22818722034.33740,4182903,97227.324,10831873150.44210,0,2025-08-25 00:00:00+00:00,116419.68000000001,100904.56318181817,124802.24929771032,77006.87706592602,False,False
1756166400000,110064.1,112330.0,108559.7,111709.9,145041.438,1756252799999,15983443440.89150,3465884,71412.185,7870638924.21600,0,2025-08-26 00:00:00+00:00,116258.125,100937.225,124874.22002957124,77000.22997042877,False,False
1756252800000,111710.0,112568.5,110306.9,111194.9,114205.122,1756339199999,12739237648.64940,2613099,57009.686,6360193223.37450,0,2025-08-27 00:00:00+00:00,115946.875,100982.14954545455,124958.85074204877,77005.44834886033,False,False
1756339200000,111194.9,113429.0,110811.0,112507.3,97630.277,1756425599999,10988621821.80740,2252826,48243.477,5429943327.61280,0,2025-08-28 00:00:00+00:00,115740.83,101028.78454545455,125055.00896111013,77002.56012979896,False,False
1756425600000,112507.3,112585.7,107411.4,108332.4,179725.172,1756511999999,19688668760.05720,3720115,85606.138,9377659144.88230,0,2025-08-29 00:00:00+00:00,115336.345,101038.8659090909,125075.47670463147,77002.25511355035,False,False
1756512000000,108332.4,108879.6,107281.0,108757.9,60656.883,1756598399999,6572709736.31170,1397811,29582.419,3205457675.08640,0,2025-08-30 00:00:00+00:00,114811.475,101062.01590909091,125118.50085930616,77005.53095887566,False,False
1756598400000,108758.0,109439.9,108021.0,108208.4,70149.546,1756684799999,7626942442.61100,1474441,35849.920,3897678579.92970,0,2025-08-31 00:00:00+00:00,114289.79999999997,101081.76272727273,125154.54218420532,77008.98327034013,False,False
1756684800000,108208.4,109874.8,107211.5,109187.9,150280.626,1756771199999,16311045147.88820,3269303,74557.088,8091073396.49200,0,2025-09-01 00:00:00+00:00,113745.14499999999,101101.6709090909,125193.98042183256,77009.36139634924,False,False
1756771200000,109187.9,111742.1,108333.0,111188.0,175961.356,1756857599999,19401297224.94340,3533098,86748.838,9565971726.02780,0,2025-09-02 00:00:00+00:00,113138.35,101131.15272727271,125256.86372652538,77005.44172802004,False,False
1756857600000,111187.9,112541.2,110486.9,111659.8,105504.421,1756943999999,11770759661.80710,2363045,51862.786,5786444607.38720,0,2025-09-03 00:00:00+00:00,112809.23000000001,101172.515,125339.05097469123,77005.97902530877,False,False
1756944000000,111659.7,112136.8,109269.1,110679.4,122300.369,1757030399999,13516026898.71130,2639637,62399.713,6896231004.22840,0,2025-09-04 00:00:00+00:00,112479.23999999999,101211.87,125411.98271302978,77011.75728697021,False,False
1757030400000,110679.5,113344.3,110153.3,110614.9,193375.404,1757116799999,21608268964.65910,3788859,95520.119,10674991930.16650,0,2025-09-05 00:00:00+00:00,112143.49999999997,101254.30318181818,125487.45714385569,77021.14921978067,False,False
1757116800000,110614.8,111256.2,109850.0,110135.3,46282.516,1757203199999,5113475710.49390,1043405,21535.745,2379550741.40790,0,2025-09-06 00:00:00+00:00,111782.575,101283.56272727273,125543.97845792948,77023.14699661598,False,False
1757203200000,110135.2,111559.5,110120.5,111076.0,53840.584,1757289599999,5973071292.84720,1136788,28108.634,3118159009.90870,0,2025-09-07 00:00:00+00:00,111527.19499999999,101312.64954545455,125604.59298684043,77020.70610406867,False,False
1757289600000,111075.5,112867.6,110566.5,112012.6,99117.859,1757375999999,11088708293.00360,2062136,49613.319,5550460075.51340,0,2025-09-08 00:00:00+00:00,111486.61500000002,101356.43545454546,125690.60407943305,77022.26682965786,False,False
1757376000000,112012.7,113238.0,110714.9,111499.9,137275.133,1757462399999,15364017571.64210,2548235,68008.526,7611454214.73440,0,2025-09-09 00:00:00+00:00,111350.585,101405.9640909091,125778.1279368843,77033.8002449339,False,False
1757462400000,111499.9,114287.9,110855.8,113896.8,151901.539,1757548799999,17159405921.20620,2703708,76254.320,8616216430.83320,0,2025-09-10 00:00:00+00:00,111422.31499999999,101479.74727272727,125904.38280061196,77055.11174484258,False,False
1757548800000,113896.8,115439.0,113340.7,115427.0,113066.078,1757635199999,12912039322.46440,2206093,56557.547,6460867065.08830,0,2025-09-11 00:00:00+00:00,111348.79,101543.98954545455,126040.57128346556,77047.40780744354,False,False
1757635200000,115427.0,116605.7,114681.5,115978.4,119013.718,1757721599999,13753804629.95520,2321278,60349.365,6973899045.82500,0,2025-09-12 00:00:00+00:00,111378.85499999998,101627.02818181818,126194.80952160891,77059.24684202745,False,False
1757721600000,115978.4,116245.4,115032.0,115862.7,52529.59,1757807999999,6078193412.40060,1198605,25258.142,2922871088.12560,0,2025-09-13 00:00:00+00:00,111499.675,101714.79863636363,126347.33041997769,77082.26685274957,False,False
1757808000000,115862.7,116118.6,115057.0,115210.0,55087.99,1757894399999,6368498171.51330,1196136,26632.938,3079192660.16290,0,2025-09-14 00:00:00+00:00,111756.975,101799.77545454547,126488.89126577234,77110.65964331859,False,False
1757894400000,115210.0,116759.9,114338.5,115300.6,117911.279,1757980799999,13585379833.82680,2531767,57329.104,6606034102.62620,0,2025-09-15 00:00:00+00:00,111936.51000000001,101885.43954545456,126630.49232351985,77140.38676738927,False,False
1757980800000,115300.5,116910.8,114600.0,116747.3,99446.184,1758067199999,11513690825.04470,2144042,50112.816,5803047123.00280,0,2025-09-16 00:00:00+00:00,112214.12999999998,101977.87318181817,126792.27721747084,77163.4691461655,False,False
1758067200000,116747.3,117266.4,114623.3,116402.5,158125.07,1758153599999,18348171466.35250,3267980,80225.096,9311626093.76270,0,2025-09-17 00:00:00+00:00,112408.88999999998,102068.68636363637,126947.26830993971,77190.10441733303,False,False
1758153600000,116402.6,117875.2,116033.5,117017.1,107215.717,1758239999999,12568414009.01900,2327863,51390.531,6024588789.08760,0,2025-09-18 00:00:00+00:00,112843.125,102157.94954545454,127109.40132602309,77206.497764886,False,False
1758240000000,117017.1,117406.8,115049.9,115569.5,88151.649,1758326399999,10241717036.89350,1845963,41905.847,4868815014.69980,0,2025-09-19 00:00:00+00:00,113183.705,102248.12272727273,127249.35990016206,77246.88555438339,False,False
